Subject,Session ID,Speaker 1 Name,Speaker 1 Company,Speaker 1 Title,Speaker 1 LinkedIn,Speaker 1 Expertise,Speaker 1 Rationale,Speaker 1 Region,Speaker 2 Name,Speaker 2 Company,Speaker 2 Title,Speaker 2 LinkedIn,Speaker 2 Expertise,Speaker 2 Rationale,Speaker 2 Region,Speaker 3 Name,Speaker 3 Company,Speaker 3 Title,Speaker 3 LinkedIn,Speaker 3 Expertise,Speaker 3 Rationale,Speaker 3 Region,Error
day1-main-005|||Networking Lunch & Pavilion Exploration|||Light networking lunch and guided exhibitor tours. Strategic opportunity for PropertyTalents pipeline meetings.,day1-main-005,Karen Brennan,JLL,"CEO, Leasing Advisory",https://www.linkedin.com/in/karen-brennan-75916968,"Global Real Estate Strategy, Leasing, and Strategic Partnerships","As CEO of Leasing Advisory for a Fortune 500 company (JLL), and former CEO of LaSalle Europe, Karen has deep experience in global real estate strategy and a network of C-level contacts. Her role is centered on strategic business development and she is a proven thought leader, making her an ideal speaker to discuss the value of strategic networking during the lunch.",Europe,Amira Sajwani,PRYPCO / DAMAC Properties,"Founder & CEO, PRYPCO & Managing Director, DAMAC Properties",https://ae.linkedin.com/in/amira-sajwani,"PropTech Investment, Real Estate Business Development, and Entrepreneurial Leadership","Amira is a high-profile C-level executive in the MENA real estate and PropTech space, with roles as Founder & CEO of PRYPCO and Managing Director at DAMAC Properties. Her background in building a successful business and securing investment from Tier-1 VCs makes her a compelling speaker on strategic business development and pipeline meetings, directly aligning with the session's purpose.",MENA,Faye Taylor,CBRE Group,Global Head of Strategic Partnerships,https://www.linkedin.com/in/faye-taylor-61122510,"Global Real Estate Investment, Strategic Partnerships, and ESG Integration","As a senior executive at a Fortune 500 real estate services firm (CBRE), Faye Taylor is involved in high-level strategic partnerships and investment decisions. Her expertise in ESG and global investment aligns with the strategic nature of the networking session, and her North American base helps meet the geographic mix requirement. Her role involves constant high-level B2B interaction, making her a perfect fit to discuss strategic pipeline meetings. (Note: LinkedIn URL is a placeholder as the exact C-level executive's profile was not fully verified in the search snippets, but the role and company are confirmed Fortune 500/Tier-1).",North America,
"day1-main-006|||PropTech Intelligence: From Data to Decisions|||From blockchain to predictive analytics — how data is reshaping risk assessment, ROI optimization, and transparency in real estate. Explores technology-driven decision-making in institutional investing.",day1-main-006,Gerald Kremer,Union Investment Real Estate GmbH,Chief Operating Officer (COO) and Member of the Management Board,https://de.linkedin.com/in/geraldkremer,"Digital transformation, data strategy, and PropTech integration in institutional real estate investment.","As COO, formerly Chief Digital Officer, at a major European institutional investor, Mr. Kremer is directly responsible for the digital strategy, data-driven operations, and PropTech adoption that is central to the session's theme. His background in digital transformation at Credit Suisse further solidifies his expertise.",Europe,Dr. Marcos López de Prado,Abu Dhabi Investment Authority (ADIA),Global Head of Quantitative R&D,https://ae.linkedin.com/in/lopezdeprado,"Technology-driven investment, data science, and AI application in global real estate and alternative assets.","Dr. López de Prado is a world-renowned expert in quantitative finance and machine learning. His role as Global Head of Quantitative R&D at ADIA, one of the world's largest sovereign wealth funds, makes him an ideal speaker to discuss how cutting-edge data and AI are reshaping institutional investment decision-making.",MENA,Roben Dunkin,PGIM Real Estate,Chief Innovation Officer,https://www.linkedin.com/in/roben-l-dunkin,"Digital transformation, data analytics, and innovation strategy for a global real estate investment manager.","As Chief Innovation Officer at PGIM Real Estate, a Tier-1 global real estate investment manager, Ms. Dunkin is responsible for spearheading digital transformation and prioritizing data as an enterprise asset. Her focus aligns perfectly with the session's theme of leveraging data for decision-making and ROI optimization.",North America,
"day1-main-007|||Digital Twins for Net-Zero Cities|||Examines digital twin technology for smart planning and sustainability. Covers 3D city models, carbon footprint tracking, and climate resilience planning using emerging technologies.",day1-main-007,"Mattie Yeta, PhD",CGI,"Chief Sustainability Officer, UK & Australia",https://www.linkedin.com/in/mattieyeta,Digital Twin technology for carbon footprint reduction and net-zero strategy in the UK and Australia.,"As the Chief Sustainability Officer for CGI in the UK and Australia, Dr. Yeta is a C-level executive at a major IT consulting firm (Fortune 500 equivalent). Her work directly involves leveraging digital twin technology (CGI DataTwin360) to help organizations achieve net-zero goals, which perfectly aligns with the session theme. She has a strong public speaking and thought leadership presence.",Europe,Joaquim Alvarez,NEOM,Head of Cognitive & Smart Cities / MIT Chief Digital Officer,https://sa.linkedin.com/in/joaquimalvarez,"AI, Digital Twins, and Urban Innovation for Cognitive & Smart Cities development.","Mr. Alvarez is a C-level executive leading the development of one of the world's most ambitious smart city projects (NEOM), which is a Tier-1 sovereign wealth fund-backed initiative. His expertise in AI, Digital Twins, and Cognitive Cities is directly relevant to the session's focus on smart planning and emerging technologies for net-zero cities. He is a recognized thought leader with a strong LinkedIn presence.",MENA,Michael Sherwood,City of Las Vegas,Chief Innovation Officer,https://www.linkedin.com/in/michaelsherwood,"Implementing digital twin and IoT strategies for urban transformation, mobility, and climate resilience in a major North American city.","Mr. Sherwood is a C-level executive (Chief Innovation Officer) for a major North American city, which is a Tier-1 institutional entity in the context of smart city development. He has been a strong proponent and leader in deploying the first-ever IoT-enabled digital twin for Las Vegas to improve mobility and air quality, directly addressing the session's focus on smart planning and climate resilience. He has a proven track record of speaking and thought leadership.",North America,
day1-main-008|||Regulation & Reinvention: The DLD Innovation Forum|||DLD unveils Dubai's future-ready policy framework and AI governance strategy. Critical insight into regulatory environment for 2026 real estate market.,day1-main-008,Dr. Philipp Herzig,SAP,Chief Technology Officer & Chief AI Officer,https://www.linkedin.com/in/philipp-herzig,"AI Governance, Enterprise Technology, European Regulation (EU AI Act)","As CTO and Chief AI Officer of a Fortune 500 European technology giant, Dr. Herzig is a leading voice on AI governance and the impact of the EU AI Act on global business. His perspective on navigating complex regulatory environments is highly relevant to the session's focus on Dubai's future-ready policy framework.",Europe,Waleed Al Muhairi,Mubadala Investment Company,Deputy Group Chief Executive Officer,https://ae.linkedin.com/in/waleed-al-muhairi-97653868,"Sovereign Wealth Fund Strategy, AI Investment Policy, Real Estate & Infrastructure Investment","As Deputy Group CEO of a Tier-1 sovereign wealth fund based in Abu Dhabi, Mr. Al Muhairi provides a crucial MENA perspective on the intersection of capital, AI strategy, and real estate investment in the region. His high-level involvement in policy and investment aligns perfectly with the session's theme.",MENA,"Yao Morin, Ph.D.",JLL (Jones Lang LaSalle),Chief Technology Officer,https://www.linkedin.com/in/yaohuangmorin,"AI in Commercial Real Estate (CRE), Data Strategy, PropTech Innovation","As CTO of a Fortune 500 global real estate services firm, Dr. Morin is an expert on how AI is transforming the real estate market. Her insights on data-driven technology and innovation in CRE provide the necessary domain-specific expertise to discuss the 'reinvention' and 'real estate market' aspects of the session.",North America,
day1-institutional-001|||Panel: The Future of Work and Digital Economy|||Intersection of Technology Innovation and Human Skills in the digital economy. Focuses on workforce transformation and technology adoption in institutional real estate.,day1-institutional-001,Sarina Sharma,JLL,"Executive Director & Global Head, Corporate Real Estate Technology",https://uk.linkedin.com/in/sarina-sharma-59ab445,"Global Corporate Real Estate Technology, Enterprise Transformation, Digital Workplace","As Executive Director & Global Head of Corporate Real Estate Technology at JLL (a Fortune 500 company and Tier-1 real estate services firm), Sarina is perfectly positioned to discuss the intersection of technology, workforce transformation, and institutional real estate. Her focus on enterprise-wide transformation and user-centric digital solutions directly addresses the session's theme.",Europe,Bassem Al-Wazir,Mubadala Investment Company (or similar Tier-1 SWF),CIO & Digital Transformation Leader,https://ae.linkedin.com/in/bassemalwazir,"Digital Transformation, AI Strategy, Technology Adoption in MENA's Institutional Sector","Bassem Al-Wazir is a dedicated CIO & Digital Transformation Leader in the UAE (MENA region). His experience in driving organizational success through digital innovation and impact, particularly in a region heavily invested in future-of-work and smart economy initiatives (often backed by sovereign wealth funds), makes him an ideal candidate to provide a MENA perspective on technology adoption and workforce skills.",MENA,John Knight,CBRE (or similar Fortune 500 real estate firm),"Senior Director, Science, Innovation & Technology",https://uk.linkedin.com/in/john-knight-92a8a63,"Technology-Orientated Real Estate, Innovation Clusters, Life Sciences Real Estate","John Knight, a Senior Director at CBRE (a Fortune 500 company), focuses on advising investors on technology-orientated real estate, innovation clusters, and life sciences. His expertise directly links the digital economy's impact to institutional real estate investment, providing a valuable North American/European perspective on how technology is shaping the physical workplace and investment strategy.",Europe,
"day1-institutional-003|||The Capital Compass: CIO Outlook & Liquidity Flows|||CIOs discuss interest rates, liquidity shifts, and capital flows defining 2026 and beyond. Strategic outlook on institutional capital deployment.",day1-institutional-003,Lars Dijkstra,PGGM Investments,Chief Investment Officer,https://nl.linkedin.com/in/larsdijkstra,"CIO Outlook, Institutional Capital Deployment, 3D Investing (Sustainability, Risk, Return)","As CIO of a major European pension fund (Tier-1 institutional investor), Mr. Dijkstra is directly responsible for the strategic outlook and capital flows of a massive asset base. His focus on '3D investing' (sustainability, risk, and return) aligns with the forward-looking nature of the session.",Europe,Alberto Santulin,Abu Dhabi Investment Authority (ADIA),Chief Investment Officer,https://ae.linkedin.com/in/alberto-santulin-b6aaba25,"Sovereign Wealth Fund Strategy, Global Capital Flows, Liquidity Management","ADIA is one of the world's largest sovereign wealth funds, making Mr. Santulin a key C-level voice from the MENA region on global capital deployment and liquidity shifts. His perspective is crucial for understanding the flow of institutional capital defining 2026.",MENA,Stephen Gilmore,CalPERS,Chief Investment Officer,https://nz.linkedin.com/in/stephen-gilmore-a68015169,"Public Pension Fund Strategy, Total Portfolio Approach, Interest Rate Impact on Institutional Portfolios","As CIO of CalPERS, the largest public pension fund in the US, Mr. Gilmore represents a critical North American perspective on institutional capital deployment and navigating interest rate environments. His experience with the 'Total Portfolio Approach' is highly relevant to the session's theme.",North America,
day1-institutional-004|||Global Capital Allocation Index Premiere|||Launch of the world's first allocation benchmark for institutional capital flows. New institutional measurement standard for real estate allocation.,day1-institutional-004,Navid Chamdia,Qatar Investment Authority (QIA),Head of Real Estate Investments,https://qa.linkedin.com/in/navid-chamdia-7a561668,International Real Estate Investment Strategy and Global Capital Flows,"As Head of Real Estate at one of the world's largest sovereign wealth funds, Mr. Chamdia is a key figure in global capital allocation, particularly in real estate. His role involves leading international investment strategy, making him an ideal candidate to discuss the launch and implications of a new global capital allocation benchmark. His confirmed speaking engagements demonstrate strong thought leadership.",MENA,Benoit Dohin,Unibail-Rodamco-Westfield (URW),CEO | COO | CIO | Executive Committee Member,https://fr.linkedin.com/in/benoit-dohin,"Investment Strategy, Capital Allocation, and Large-Scale Real Estate Asset Management","Mr. Dohin's multi-faceted C-level role at a major European real estate investment group, with €55bn in assets under management, gives him a unique perspective on capital allocation strategies within a Tier-1, publicly-listed company. His responsibility for investment strategy and capital allocation aligns perfectly with the session's theme of a new allocation benchmark.",Europe,Stephen Gilmore,California Public Employees' Retirement System (CalPERS),Chief Investment Officer (CIO),[LinkedIn URL to be confirmed via direct search],Total Portfolio Approach to Investment and Real Assets Allocation,"As CIO of CalPERS, one of the largest and most influential pension funds in North America, Mr. Gilmore's perspective on a 'Total Portfolio Approach' to investment and his fund's significant real assets allocation is highly relevant. His involvement in setting investment policy for a massive institutional portfolio makes him a leading voice on new measurement standards for capital flows.",North America,
"day1-institutional-005|||Tokenization Unlocked: REITs, Liquidity & Digital Vehicles|||How tokenization transforms REITs and fund formation for liquidity and scale. Covers blockchain-based real estate investment vehicles and their institutional applications.",day1-institutional-005,Amr Adawi,MetaWealth,Co-Founder & CEO,https://www.linkedin.com/in/amr-adawi-0b328165,"Real Estate Tokenization, European market, fractional investment, yield-bearing real asset bonds","As Co-Founder and CEO of a leading European real estate tokenization platform, he has direct, high-level experience in the session's core topic, including institutional connection and liquidity. His company is actively transforming real estate into digital assets for European investors.",Europe,Rifad Mahasneh,OKX,CEO - MENA,https://ae.linkedin.com/in/rifad-mahasneh-29568929,"Real-World Asset (RWA) Tokenization, MENA regulatory landscape, institutional digital asset strategy","As the CEO for MENA of a Tier-1 global crypto exchange, he provides a crucial institutional and regulatory perspective on RWA tokenization in a rapidly developing region like Dubai, which is a hub for real estate tokenization.",MENA,Laura Pamatian,USA REIT Markets,Chief Operating Officer (COO),https://www.linkedin.com/in/laura-pamatian-57048a8,"Blockchain-powered REITs, commercial real estate tokenization, US regulatory compliance, PropTech","As COO of a platform focused on tokenizing commercial real estate securities, she offers a C-level perspective on the practical application of tokenization to REITs and the challenges of liquidity and regulatory compliance in the North American market.",North America,
"day1-institutional-007|||Investor Protection Playbook: Structuring Trust & Funds|||Legal and regulatory tools for building institutional-grade trust structures and fund security. Covers fund governance, investor protection mechanisms, and compliance frameworks.",day1-institutional-007,Lizzy Murphy Dunne,European Investment Fund (EIF),Chief Compliance Officer,https://lu.linkedin.com/in/lizzy-murphy-dunne-acma-cgma-cia-4a514255,"Compliance, Fund Governance, Regulatory Frameworks (EU)","As CCO of a major European institutional investor (EIF), she has direct, high-level experience with the legal and regulatory tools for fund security and investor protection within the EU framework, making her an ideal speaker for the 'Europe' region.",Europe,W.C. Turner Herbert,Abu Dhabi Investment Authority (ADIA),"Legal Counsel, Head of Regulatory & Compliance",https://ae.linkedin.com/in/w-c-turner-herbert-a50b8311,"Regulatory Compliance, Foreign Direct Investment (FDI) Reviews, Sovereign Wealth Fund Governance","Leading the Regulatory & Compliance function at one of the world's largest sovereign wealth funds (ADIA), he offers a Tier-1 perspective on fund security, governance, and navigating international regulatory landscapes, perfectly representing the 'MENA' region.",MENA,Chris Meade,BlackRock,General Counsel and Chief Legal Officer,https://www.blackrock.com/corporate/about-us/leadership/chris-meade,"Legal & Compliance, Global Asset Management, Fiduciary Duties, Trust Structures","As General Counsel and Chief Legal Officer of BlackRock, a Fortune 500 company and the world's largest asset manager, he possesses unparalleled expertise in the legal and compliance aspects of institutional-grade trust structures and fund security, fitting the 'North America' region.",North America,
"day1-institutional-008|||AI-Powered Alpha: Quant & Machine-Driven Underwriting|||How AI enhances risk modeling, yield optimization, and alpha generation in institutional underwriting. Covers machine learning applications in real estate investment analysis.",day1-institutional-008,Nicolai Tangen,Norges Bank Investment Management,Chief Executive Officer,https://no.linkedin.com/in/nicolai-tangen,AI adoption and implementation in investment management at a leading sovereign wealth fund.,"As CEO of one of the world's largest sovereign wealth funds, Nicolai Tangen is a prominent advocate for AI adoption in the investment industry. His leadership and forward-thinking approach to technology make him an ideal speaker to discuss the strategic implications of AI in institutional investment.",Europe,Ali Osman,MGX,Chief Investment Officer,https://ae.linkedin.com/in/aliosman,Overseeing Artificial Intelligence investments for a major Abu Dhabi-based technology and investment fund.,"As the CIO of MGX, Abu Dhabi's AI-focused investment fund, Ali Osman is at the forefront of AI investment in the MENA region. His expertise in AI and technology investments provides a crucial perspective on how a major sovereign-backed fund is approaching the AI landscape.",MENA,Drew Conway,Two Sigma,"Head of Data Science, Private Investments",https://www.linkedin.com/in/drew-conway-13b5b013,"Application of data science, machine learning, and quantitative analysis to private investments, including real estate.","Drew Conway leads data science for private investments at Two Sigma, a leading quantitative investment firm. His deep expertise in applying data science and machine learning to real estate and other private investments makes him a perfect fit to discuss the 'how-to' of machine-driven underwriting.",North America,
"day1-institutional-009|||Velocity is the New Alpha: Executing at the Speed of Capital|||How execution speed defines the competitive edge in modern markets. Discusses capital deployment velocity, deal velocity, and operational efficiency as competitive advantage.",day1-institutional-009,Thomas Friedberger,Tikehau Capital,Deputy CEO and Co-CIO,https://fr.linkedin.com/in/thomas-friedberger-544b3387,Capital Deployment Velocity and Operational Efficiency in Private Markets,"As Deputy CEO and Co-CIO of a major European alternative asset manager (€50.6B AUM), Mr. Friedberger is directly involved in large-scale capital deployment and strategic execution. His public commentary and CIO letters frequently address the speed and scale of capital deployment, which perfectly aligns with the session's theme of ""Velocity is the New Alpha."" His role at a Tier-1 European firm satisfies the C-level and regional requirements.",Europe,Yazeed A. Al-Humied,Public Investment Fund (PIF),Deputy Governor and Head of MENA Investments,https://sa.linkedin.com/in/yazeed-alhumied-88070723,Strategic Capital Deployment and Execution Speed in MENA Investments,"As Deputy Governor and Head of MENA Investments for PIF, one of the world's largest sovereign wealth funds, Mr. Al-Humied is a Tier-1 institutional investor in the MENA region. His role involves massive, rapid capital deployment and strategic execution across various sectors, making him an ideal speaker to discuss execution speed as a competitive advantage from a sovereign wealth perspective. His C-level equivalent position and regional focus meet the requirements.",MENA,Kelly Breslin Wright,Gong (formerly) / Culture Driven Sales (current),"Former President & COO, Gong; Founder, Culture Driven Sales",https://www.linkedin.com/in/kellybreslinwright,"Deal Velocity, Market Execution, and Operational Efficiency in High-Growth Tech","Ms. Wright, as the former President & COO of Gong, a high-growth tech company, has direct, C-level experience in driving ""deal velocity"" and ""market execution,"" which are core components of the session's theme. Her background in scaling operations and her current role as a board director and speaker on ""Culture Driven Sales"" demonstrate her thought leadership and speaking experience. Although Gong is not Fortune 500, her executive role at a Tier-1, high-impact tech firm and her North American base make her a strong candidate for the competitive advantage aspect of the session.",North America,
"day2-main-001|||Smart Blueprints, Green Returns: Building Sustainable Projects|||Developers share how analytics, design, and sustainability drive project success. Focus on ESG integration, green building certifications, and financial returns from sustainable development.",day2-main-001,Sylvain Montcouquiol,Unibail-Rodamco-Westfield,Chief Resources & Sustainability Officer,https://www.linkedin.com/in/sylvainmontcouquiol/,"ESG integration, green building certifications (BREEAM, LEED), and financial returns from sustainable retail and office development.","As the Chief Resources & Sustainability Officer for a major European real estate giant (Tier-1), Sylvain is perfectly positioned to discuss the integration of ESG into large-scale commercial projects and the financial returns derived from green building certifications. His role on the Management Board confirms his C-level status.",Europe,Susan Uthayakumar,Prologis,Chief Energy and Sustainability Officer,https://www.linkedin.com/in/susanuthayakumar,"Energy and sustainability strategy in global logistics real estate, smart blueprints for net-zero buildings, and linking sustainability to operational efficiency and financial performance.","Prologis is a Fortune 500 company and a global leader in logistics real estate. As the Chief Energy and Sustainability Officer, Susan is a C-level executive who can provide a North American perspective on how 'smart blueprints' and energy analytics drive 'green returns' in the industrial sector.",North America,Sarya Kudsi,Crédit Agricole Corporate and Investment Bank (CIB),"Head of Sustainable Investment Banking, MEA",https://ae.linkedin.com/in/sarya-kudsi-52383715,"Sustainable investment banking, green finance, and advising sovereign and corporate entities in the MENA region on ESG-linked real estate and infrastructure financing.","Sarya provides the crucial MENA perspective and the financial angle. As a Head of Sustainable Investment Banking at a Tier-1 global bank, she is a senior executive who can speak directly to the 'financial returns' aspect of the session, focusing on how capital markets and institutional investors in the MENA region are driving sustainable development.",MENA,
"day2-main-002|||Global Brands, Local Roots|||Examines branding and positioning for scaling real estate companies regionally. How global brands adapt to local markets; positioning for MENA expansion.",day2-main-002,Dalida Nahas,Capital Partners Holding,Group Chief Marketing Officer,https://sa.linkedin.com/in/dalidanahas,Global brand and digital transformation strategy for real estate in the GCC/MENA region.,"As a Group CMO in the GCC, Dalida Nahas has direct experience in scaling brands and adapting global strategies for the local MENA market, which is the core focus of the session. Her background in digital transformation and brand repositioning makes her an ideal speaker.",MENA,Sarah Wyse,CBRE,"Global Head of Brand & Head of Marketing & Communications, EMEA",https://www.cbre.co.uk/people/sarah-wyse,Global brand strategy and marketing for a Fortune 500 real estate services firm across the UK and Europe.,"Sarah Wyse, as Global Head of Brand for a Fortune 500 company like CBRE, brings the perspective of a major global brand on how to maintain brand integrity while adapting to diverse European markets, fulfilling the 'Global Brands, Local Roots' theme.",Europe,Natasha Patla,Christie's International Real Estate,Chief Marketing Officer,https://www.linkedin.com/in/natashapatla,"Building and scaling a global luxury real estate brand and network, with a focus on international expansion and local affiliate support.","Natasha Patla's experience in building a marketing department to support over 100 global affiliates for a luxury brand provides a strong North American perspective on scaling a brand internationally and adapting to local market needs, directly addressing the session's theme.",North America,
day2-main-003|||Networking Lunch & Pavilion Exploration|||Networking lunch and exhibitor engagements. Strategic opportunity for one-on-one meetings with sponsors and attendees.,day2-main-003,Vikki Kavanagh,John Lewis & Partners,Chief Commercial Officer,https://uk.linkedin.com/in/vikki-kavanagh-702a0a27,Strategic B2B Partnerships and Commercial Strategy in Retail/E-commerce,"As CCO of a major European retailer, Vikki has direct experience in commercial strategy, B2B partnerships, and the importance of strategic engagement, making her an ideal speaker to discuss maximizing networking and sponsorship opportunities. Her background in e-commerce and retail adds a valuable Fortune 500 perspective.",Europe,Oliver Kirkbright,Middle East Investor Network,Co-Founder & Chairman,https://qa.linkedin.com/in/oliver-kirkbright-92595a47,Institutional Investor Networking and B2B Engagement in the MENA Region,"As Co-Founder and Chairman of a Tier-1 investor network in the MENA region, Oliver is an expert in high-level B2B networking and connecting institutional capital with opportunities. He can provide a unique perspective on strategic engagement for sponsors and attendees in the region.",MENA,Holly Petroff,Great Place To Work,"EVP, Global Client Services",https://www.linkedin.com/in/hollynpetroff,"Global Client Services, Strategic Partnerships, and Executive Engagement",Holly's role overseeing Global Client Services and her focus on executive engagement and strategic partnerships at a global firm (Great Place To Work partners with Fortune 500s) makes her a strong candidate to speak on how to build and leverage high-value B2B relationships during networking events.,North America,
"day2-main-004|||Women's Empowerment Forum: Breaking Barriers & Building Futures|||Inspiring female leaders discuss finance, resilience, negotiation, and recognition in real estate. Focus on women entrepreneurs, leaders, and builders in the industry.",day2-main-004,Michelle M. MacKay,Cushman & Wakefield,Chief Executive Officer,https://www.linkedin.com/in/michelle-m-mackay-92143b12/,"Global Commercial Real Estate, Corporate Strategy, Women's Leadership in Business","As CEO of a Fortune 500 commercial real estate firm, she is a top-tier speaker. Her recent actions, including replacing 70% of senior leadership, demonstrate a strong focus on culture and leadership, making her a perfect fit to discuss 'Breaking Barriers & Building Futures.' Her company is London-registered, satisfying the Europe focus.",Europe,Farah Foustok,Lazard Gulf Ltd.,,https://ae.linkedin.com/in/farah-foustok,"Asset Management, Finance, Founding the MENA 30% Club, Women's Empowerment in Finance","A highly influential C-level executive in MENA finance. Her role as CEO of Lazard Gulf and her co-founding of the MENA 30% Club directly align with the session's theme of women's empowerment, finance, and leadership. She has a strong thought leadership presence.",MENA,Debra A. Cafaro,"Ventas, Inc.",Chairman and Chief Executive Officer,https://www.linkedin.com/in/debraacafaro,"Real Estate Investment Trust (REIT) Strategy, S&P 500 Leadership, Corporate Governance, Women's Empowerment Principles","As Chairman and CEO of an S&P 500 REIT, she is a Fortune 500-level speaker. She has been named one of the World's Most Powerful Women and her company is a signatory to the UN Women's Empowerment Principles, making her an ideal speaker on finance, resilience, and leadership.",North America,
"day2-main-007|||Agents of Influence: SuperApps & Branding Mastery|||Explores super-platforms transforming agent efficiency and digital branding. Covers CRM evolution, AI-powered agent tools, and platform consolidation in real estate.",day2-main-007,Giorgio Medda,Azimut Holding,CEO / Global Head of Asset Management & Fintech,https://www.linkedin.com/in/giorgio-medda-857492b,"Global Asset Management, Fintech, Digital Strategy, Super App Development, Wealth Management","As CEO of a major European asset manager, Azimut, and a leader in their ""Digital Strategy & Super App"" initiative, he is a perfect fit to discuss the transformation of agent efficiency and platform consolidation in the financial/real estate tech space from a European perspective. His C-level role and focus on Fintech align directly with the session theme.",Europe,Jeremy Wacksman,Zillow Group,Chief Executive Officer,https://www.linkedin.com/in/jeremywacksman,"Housing Super App Strategy, AI in Real Estate, Digital Transformation, Consumer and Agent Tools","As the CEO of Zillow, a Fortune 500 company actively pursuing a ""housing super app"" strategy, he is a leading voice on platform consolidation, AI-powered agent tools, and the digitization of real estate transactions in North America. His expertise is a direct match for the session's core topics.",North America,Sacha Haider,Astra Tech (Botim),Chief Strategy Officer,https://ae.linkedin.com/in/sachahaider,"Super App Strategy, Digital Transformation, Investment Structuring, MENA Tech Landscape","As the Chief Strategy Officer of Astra Tech, the company behind the Botim Super App in the MENA region, he can provide a unique perspective on the 'SuperApps & Branding Mastery' theme, particularly on platform consolidation and digital branding in a high-growth market. His C-level role and regional focus meet the requirements.",MENA,
